货币缩写,货币名称,国家名称,地区代码两字,地区代码三字
AFA,Afghanistanafghani阿富汗阿富汗尼,Afghanistan阿富汗,AF,AFG
ARA,Argentinaaustral阿根廷奥斯特拉尔,Argentina阿根廷,AR,ARG
ATS,Austrianschilling奥地利先令,Austria奥地利,AT,AUT
AUD,Australiandollar澳大利亚元,Australia澳大利亚,AU,AUS
BDT,Bangladeshtaka孟加拉塔卡,Bangladesh孟加拉,BD,BGD
BEF,Belgianfranc比利时法郎,Belgium比利时,BE,BEL
BGL,Bulgarianlev保加利亚列弗,Bulgaria保加利亚,BG,BGR
BMD,Bermudadollar百慕大元,Bermuda百慕大,BM,BMU
BOB,Boliviaboliviano玻利维亚诺,Bolivia玻利维亚,BO,BOL
BRZ,Brazilcruziero巴西克鲁赛罗,Brazil巴西,BR,BRA
CAD,Canadiandollar加拿大元,Canada加拿大,CA,CAN
CHF,Swissfranc瑞士法郎,Switzerland瑞士,CH,CHE
CLP,Chilepeso智利比索,Chile智利,CL,CHL
CNY ,ChinaYuanRenminbi中国人民币,China中国,CN,CHN
COP,Colombiapeso哥伦比亚比索,Colombia哥伦比亚,CO,COL
CRC,CostaRicacolon哥斯达黎加科朗,CostaRica哥斯达黎加,CR,CRI
CSK,CzechKoruna捷克克朗,Czech捷克,CZ,CZE
CUP,Cubanpeso古巴比索,Cuba古巴,CU,CUB
DEM,Deutschemark德国马克,Germany德国,DE,DEU
DKK,Danishkrone丹麦克朗,Denmark丹麦,DK,DNK
DOP,DominicanRepublicpeso多米尼加共和国比索,DominicanRepublic多米尼加共和国,DO,DOM
DZD,Algeriandinar阿尔及利亚第纳尔,Algeria阿尔及利亚,DZ,DZA
ECS,Ecuadorsucre厄瓜多尔苏克雷,Ecuador厄瓜多尔,EC,ECU
ECU,Europeaneuro欧元,EuropeanUnion欧盟,,
EGP,Egyptianpound埃及镑,Egypt埃及,EG,EGY
ESP,Spanishpeseta西班牙比塞塔,Spain西班牙,ES,ESP
ETB,Ethiopiabirr埃塞俄比亚比尔,Ethiopia埃塞俄比亚,ET,ETH
FIM,Finnishmarkka芬兰马克,Finland芬兰,FI,FIN
FJD,Fijidollar斐济元,Fiji斐济,FJ,FJI
FRF,Frenchfranc法国法郎,France法国,FR,FRA
GBP,Britishpound英镑,GreatBritain英国,GB,GBR
GHC,Ghanacedi加纳塞迪,Ghana加纳,GH,GHA
GRD,Greekdrachma希腊德拉克马,Greece希腊,GR,GRC
GTQ,Guatemalaquetzal危地马拉格查,Guatemala危地马拉,GT,GTM
HKD,HongKongdollar港元,ChinaHongKong中国香港,HK,HKG
HNL,Honduraslempira洪都拉斯伦皮拉,Honduras洪都拉斯,HN,HND
HTG,Haitigourde海地古德,Haiti海地,HT,HTI
HUF,Hungarianforint匈牙利福林,Hungary匈牙利,HU,HUN
IDR,Indonesianrupiah印尼卢比,Indonesia印度尼西亚,ID,IDN
IEP,Irishpound爱尔兰镑,Ireland爱尔兰,IE,IRL
ILS,Israelinewshekel以色列新克尔,Israel以色列,IL,ISR
INR,Indianrupee印度卢比,India印度,IN,IND
IQD,Iraqdinar伊拉克第纳尔,Iraq伊拉克,IQ,IRQ
IRR,Iranrial伊朗里亚尔,Iran伊朗,IR,IRN
ISK,Icelandickrona冰岛克朗,Iceland冰岛,IS,ISL
ITL,ItalianIira意大利里拉,Italy意大利,IT,ITA
JMD,Jamaicandollar牙买加元,Jamaica牙买加,JM,JAM
JOD,Jordaniandinar约旦第纳尔,Jordan约旦,JO,JOR
JPY,Japaneseyen日元,Japan日本,JP,JPN
KES,Kenyashilling肯尼亚先令,Kenya肯尼亚,KE,KEN
KRW,SouthKoreanwon南朝鲜元,KoreaSouth韩国,KR,KOR
KWD,Kuwaitidinar科威特第纳尔,Kuwait科威特,KW,KWT
LAK,Laoskip老挝基普  ,Laos老挝,LA,LAO
LBP,Lebanesepound黎巴嫩镑,Lebanon黎巴嫩,LB,LBN
LKR,SriLankarupee斯里兰卡卢比,SriLanka斯里兰卡,LK,LKA
LRD,Liberiadollar利比里亚元,Liberia利比里亚,LR,LBR
LSL,Lesothomaloti莱索托马洛蒂,Lesotho莱索托,LS,LSO
LUF,Luxembourgfranc卢森堡法郎,Luxembourg卢森堡,LU,LUX
LYD,Libyadinar利比亚第纳尔,Libya利比亚,LY,LBY
MAD,Moroccodirham摩洛哥迪拉姆,Morocco摩洛哥,MA,MAR
MTL,Malteselira马耳他里拉,Malta马耳他,MT,MLT
MUR,Mauritiusrupee毛里求斯卢比,Mauritius毛里求斯,MU,MUS
MXP,Mexicanpeso墨西哥比索,Mexico墨西哥,MX,MEX
MYR,Malaysianringgit马来西亚林吉特,Malaysia马来西亚,MY,MYS
NGN,Nigeriannaira尼日利亚奈拉,Nigeria尼日利亚,NG,NGA
NIC,Nicaraguacordoba尼加拉瓜科多巴,Nicaragua尼加拉瓜,NI,NIC
NLG,Netherlandsguilder荷兰盾,TheNetherlands荷兰,NL,NLD
NOK,Norwegiankrone挪威克朗,Norway挪威,NO,NOR
NPR,Nepaleserupee尼泊尔卢比,Nepal尼泊尔,NP,NPL
NZD,NewZealanddollar新西兰元,NewZealand新西兰,NZ,NZL
OMR,Omanrial阿曼里亚尔,Oman阿曼,OM,OMN
PAB,Panamabalboa巴拿马巴波亚,Panama巴拿马,PA,PAN
PEI,Peruinti秘鲁印第 ,Peru秘鲁,PE,PER
PHP,Philippinepeso菲律宾比索,Philippines菲律宾,PH,PHL
PKR,Pakistanirupee巴基斯坦卢比,Pakistan巴基斯坦,PK,PAK
PLZ,Polishzlty波兰兹罗提,Poland波兰,PL,POL
PTE,Portugueseescudo葡萄牙埃斯库多  ,Portugal葡萄牙,PT,PRT
PYG,Paraguayguarani巴拉圭瓜尼,Paraguay巴拉圭,PY,PRY
QAR,Qatarriyal卡塔尔里亚尔 ,Qatar卡塔尔,QA,QAT
ROL,Romanianleu罗马尼亚列伊,Romania罗马尼亚,RO,ROU
RUR,Russianrouble卢布,Russia俄罗斯,RU,RUS
RWF,Rwandafranc卢旺达法郎,Rwanda卢旺达,RW,RWA
SAR,Saudiriyal沙特里亚尔,SaudiArabia沙特阿拉伯,SA,SAU
SDP,Sudanesepound苏丹镑,Sudan苏丹,SD,SDN
SEK,Swedishkrona瑞典克朗,Sweden瑞典,SE,SWE
SGD,Singaporedollar新加坡元,Singapore新加坡,SG,SGP
SOS,Somalishilling索马里先令,Somalia索马里,SO,SOM
SYP,Syrianpound叙利亚镑,Syria叙利亚,SY,SYR
SVC,ElSalvadorcolon萨尔瓦多科朗,ElSalvador萨尔瓦多,SV,SLV
THB,Thailandbaht泰国铢,Thailand泰国,TH,THA
TND,Tunisiandinar突尼斯第纳,Tunisia突尼斯,TN,TUN
TRL,Turkishlira土耳其里拉,Turkey土耳其,TR,TUR
TZS,Tanzanianshilling坦桑尼亚先令,Tanzania坦桑尼亚,TZ,TZA
UGS,Ugandashilling乌干达先令,Uganda乌干达,UG,UGA
USD,U.S.dollar美元  ,USA美国,US,USA
UYP,Uruguaynewpeso乌拉圭比索,Uruguay乌拉圭,UY,URY
VEB,Venezuelabolivar委内瑞拉博利瓦,Venezuela委内瑞拉,VE,VEN
VND,Vietnamdong越南盾       ,Vietnam越南,VN,VNM
XOF,CFAfranc非洲金融共同体法郎,Benin贝宁,BJ,BEN
,,BurkinaFaso布基纳法索,BF,BFA
,,Cameroon喀麦隆,CM,CMR
,,CentralAfricanRepublic中非共和国,CF,CAF
,,Chad乍得,TD,TCD
,,Congo刚果,CG,COG
,,Gabon加蓬,GA,GAB
,,Mali马里,ML,MLI
,,Senegal塞内加尔,SN,SEN
,,Togo多哥,TG,TGO
YUN,Yugoslavdinar南斯拉夫第纳尔,Yugoslavia南斯拉夫,YU,YUG
ZAR,SouthAfricanrand南非兰特,SouthAfrica南非,ZA,ZAF
ZMK,Zambiankwacha赞比亚克瓦查,Zambia赞比亚,ZM,ZMB
ZRZ,Zairianzaire扎伊尔扎伊尔,Zaire扎伊尔,,
